Pinmux settings per pin
Format: pin (name): mux_owner gpio_owner hog?
pin 180 (SHARKL5PRO_GPIO86): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 181 (SHARKL5PRO_GPIO87): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 182 (SHARKL5PRO_GPIO88): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 183 (SHARKL5PRO_SPI0_CSN): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 184 (SHARKL5PRO_SPI0_DO): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 185 (SHARKL5PRO_SPI0_DI): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 186 (SHARKL5PRO_SPI0_CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 187 (SHARKL5PRO_EXTINT9): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 188 (SHARKL5PRO_EXTINT10): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 189 (SHARKL5PRO_IIS1DI): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 190 (SHARKL5PRO_IIS1DO): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 191 (SHARKL5PRO_IIS1CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 192 (SHARKL5PRO_IIS1LRCK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 193 (SHARKL5PRO_SCL2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 194 (SHARKL5PRO_SDA2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 195 (SHARKL5PRO_MEMS_MIC_CLK0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 196 (SHARKL5PRO_MEMS_MIC_DATA0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 197 (SHARKL5PRO_MEMS_MIC_CLK1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 198 (SHARKL5PRO_MEMS_MIC_DATA1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 199 (SHARKL5PRO_SPI2_CSN): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 200 (SHARKL5PRO_SPI2_DO): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 201 (SHARKL5PRO_SPI2_DI): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 202 (SHARKL5PRO_SPI2_CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 203 (SHARKL5PRO_IIS0DI): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 204 (SHARKL5PRO_IIS0DO): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 205 (SHARKL5PRO_IIS0CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 206 (SHARKL5PRO_IIS0LRCK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 207 (SHARKL5PRO_U5TXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 208 (SHARKL5PRO_U5RXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 209 (SHARKL5PRO_CLK_AUX0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 210 (SHARKL5PRO_U0TXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 211 (SHARKL5PRO_U0RXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 212 (SHARKL5PRO_U0CTS): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 213 (SHARKL5PRO_U0RTS): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 214 (SHARKL5PRO_U4TXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 215 (SHARKL5PRO_U4RXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 216 (SHARKL5PRO_U4CTS): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 217 (SHARKL5PRO_U4RTS): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 218 (SHARKL5PRO_SD1_CMD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 219 (SHARKL5PRO_SD1_D0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 220 (SHARKL5PRO_SD1_D1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 221 (SHARKL5PRO_SD1_CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 222 (SHARKL5PRO_SD1_D2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 223 (SHARKL5PRO_SD1_D3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 224 (SHARKL5PRO_EXTINT0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 225 (SHARKL5PRO_EXTINT1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 226 (SHARKL5PRO_SDA3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 227 (SHARKL5PRO_SCL3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 228 (SHARKL5PRO_EMMC_RST_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 229 (SHARKL5PRO_EMMC_CMD_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 230 (SHARKL5PRO_EMMC_D0_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 231 (SHARKL5PRO_EMMC_D3_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 232 (SHARKL5PRO_EMMC_D2_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 233 (SHARKL5PRO_EMMC_D5_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 234 (SHARKL5PRO_EMMC_CLK_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 235 (SHARKL5PRO_EMMC_DS_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 236 (SHARKL5PRO_EMMC_D1_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 237 (SHARKL5PRO_EMMC_D4_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 238 (SHARKL5PRO_EMMC_D6_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 239 (SHARKL5PRO_EMMC_D7_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 240 (SHARKL5PRO_LCM_RSTN_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 241 (SHARKL5PRO_DSI_TE_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 242 (SHARKL5PRO_DCDC_ARM1_EN_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 243 (SHARKL5PRO_PTEST_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 244 (SHARKL5PRO_EXT_RST_B_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 245 (SHARKL5PRO_ADI_SCLK_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 246 (SHARKL5PRO_CLK_32K_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 247 (SHARKL5PRO_ANA_INT_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 248 (SHARKL5PRO_ADI_D_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 249 (SHARKL5PRO_AUD_SCLK_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 250 (SHARKL5PRO_DCDC_ARM0_EN_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 251 (SHARKL5PRO_AUD_ADD0_MISC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
